DATA_DATE,VALUE,ROLLING_MAX_12M,ROLLING_MIN_12M
2020-12-15,3694.62,3702.25,2470.5
2020-12-16,3701.17,3702.25,2470.5
2020-12-17,3722.48,3722.48,2470.5
2020-12-18,3709.41,3722.48,2470.5
2020-12-21,3694.92,3722.48,2470.5
2020-12-22,3687.26,3722.48,2470.5
2020-12-23,3690.01,3722.48,2470.5
2020-12-24,3703.06,3722.48,2470.5
2020-12-25,,3722.48,2470.5
2020-12-28,3735.36,3735.36,2470.5
2020-12-29,3727.04,3735.36,2470.5
2020-12-30,3732.04,3735.36,2470.5
2020-12-31,3756.07,3756.07,2470.5
2021-01-01,,3756.07,2470.5
2021-01-04,3700.65,3756.07,2470.5
2021-01-05,3726.86,3756.07,2470.5
2021-01-06,3748.14,3756.07,2470.5
2021-01-07,3803.79,3803.79,2470.5
2021-01-08,3824.68,3824.68,2470.5
2021-01-11,3799.61,3824.68,2470.5
2021-01-12,3801.19,3824.68,2470.5
2021-01-13,3809.84,3824.68,2470.5
2021-01-14,3795.54,3824.68,2470.5
2021-01-15,3768.25,3824.68,2470.5
2021-01-18,,3824.68,2470.5
2021-01-19,3798.91,3824.68,2470.5
2021-01-20,3851.85,3851.85,2470.5
2021-01-21,3853.07,3853.07,2470.5
2021-01-22,3841.47,3853.07,2470.5
2021-01-25,3855.36,3855.36,2470.5
2021-01-26,3849.62,3855.36,2470.5
2021-01-27,3750.77,3855.36,2470.5
2021-01-28,3787.38,3855.36,2470.5
2021-01-29,3714.24,3855.36,2470.5
2021-02-01,3773.86,3855.36,2470.5
2021-02-02,3826.31,3855.36,2470.5
2021-02-03,3830.17,3855.36,2470.5
2021-02-04,3871.74,3871.74,2470.5
2021-02-05,3886.83,3886.83,2470.5
2021-02-08,3915.59,3915.59,2470.5
2021-02-09,3911.23,3915.59,2470.5
2021-02-10,3909.88,3915.59,2470.5
2021-02-11,3916.38,3916.38,2470.5
2021-02-12,3934.83,3934.83,2470.5
2021-02-15,,3934.83,2470.5
2021-02-16,3932.59,3934.83,2470.5
2021-02-17,3931.33,3934.83,2470.5
2021-02-18,3913.97,3934.83,2470.5
2021-02-19,3906.71,3934.83,2470.5
2021-02-22,3876.5,3934.83,2470.5
2021-02-23,3881.37,3934.83,2470.5
2021-02-24,3925.43,3934.83,2470.5
2021-02-25,3829.34,3934.83,2470.5
2021-02-26,3811.15,3934.83,2470.5
2021-03-01,3901.82,3934.83,2470.5
2021-03-02,3870.29,3934.83,2470.5
2021-03-03,3819.72,3934.83,2470.5
2021-03-04,3768.47,3934.83,2470.5
2021-03-05,3841.94,3934.83,2470.5
2021-03-08,3821.35,3934.83,2470.5
2021-03-09,3875.44,3934.83,2470.5
2021-03-10,3898.81,3934.83,2470.5
2021-03-11,3939.34,3939.34,2470.5
2021-03-12,3943.34,3943.34,2470.5
2021-03-15,3968.94,3968.94,2470.5
2021-03-16,3962.71,3968.94,2470.5
2021-03-17,3974.12,3974.12,2470.5
2021-03-18,3915.46,3974.12,2470.5
2021-03-19,3913.1,3974.12,2470.5
2021-03-22,3940.59,3974.12,2470.5
2021-03-23,3910.52,3974.12,2470.5
2021-03-24,3889.14,3974.12,2470.5
2021-03-25,3909.52,3974.12,2470.5
2021-03-26,3974.54,3974.54,2470.5
2021-03-29,3971.09,3974.54,2470.5
2021-03-30,3958.55,3974.54,2470.5
2021-03-31,3972.89,3974.54,2470.5
2021-04-01,4019.87,4019.87,2470.5
2021-04-02,,4019.87,2470.5
2021-04-05,4077.91,4077.91,2470.5
2021-04-06,4073.94,4077.91,2470.5
2021-04-07,4079.95,4079.95,2470.5
2021-04-08,4097.17,4097.17,2470.5
2021-04-09,4128.8,4128.8,2470.5
2021-04-12,4127.99,4128.8,2470.5
2021-04-13,4141.59,4141.59,2470.5
2021-04-14,4124.66,4141.59,2470.5
2021-04-15,4170.42,4170.42,2470.5
2021-04-16,4185.47,4185.47,2470.5
2021-04-19,4163.26,4185.47,2470.5
2021-04-20,4134.94,4185.47,2470.5
2021-04-21,4173.42,4185.47,2470.5
2021-04-22,4134.98,4185.47,2470.5
2021-04-23,4180.17,4185.47,2470.5
2021-04-26,4187.62,4187.62,2470.5
2021-04-27,4186.72,4187.62,2470.5
2021-04-28,4183.18,4187.62,2470.5
2021-04-29,4211.47,4211.47,2470.5
2021-04-30,4181.17,4211.47,2470.5
2021-05-03,4192.66,4211.47,2470.5
2021-05-04,4164.66,4211.47,2470.5
2021-05-05,4167.59,4211.47,2470.5
2021-05-06,4201.62,4211.47,2470.5
2021-05-07,4232.6,4232.6,2470.5
2021-05-10,4188.43,4232.6,2470.5
2021-05-11,4152.1,4232.6,2470.5
2021-05-12,4063.04,4232.6,2470.5
2021-05-13,4112.5,4232.6,2470.5
2021-05-14,4173.85,4232.6,2470.5
2021-05-17,4163.29,4232.6,2470.5
2021-05-18,4127.83,4232.6,2470.5
2021-05-19,4115.68,4232.6,2470.5
2021-05-20,4159.12,4232.6,2470.5
2021-05-21,4155.86,4232.6,2470.5
2021-05-24,4197.05,4232.6,2470.5
2021-05-25,4188.13,4232.6,2470.5
2021-05-26,4195.99,4232.6,2470.5
2021-05-27,4200.88,4232.6,2470.5
2021-05-28,4204.11,4232.6,2470.5
2021-05-31,,4232.6,2470.5
2021-06-01,4202.04,4232.6,2470.5
2021-06-02,4208.12,4232.6,2470.5
2021-06-03,4192.85,4232.6,2470.5
2021-06-04,4229.89,4232.6,2470.5
2021-06-07,4226.52,4232.6,2470.5
2021-06-08,4227.26,4232.6,2470.5
2021-06-09,4219.55,4232.6,2470.5
2021-06-10,4239.18,4239.18,2470.5
2021-06-11,4247.44,4247.44,2470.5
2021-06-14,4255.15,4255.15,2470.5
2021-06-15,4246.59,4255.15,2470.5
2021-06-16,4223.7,4255.15,2470.5
2021-06-17,4221.86,4255.15,2470.5
2021-06-18,4166.45,4255.15,2470.5
2021-06-21,4224.79,4255.15,2470.5
2021-06-22,4246.44,4255.15,2470.5
2021-06-23,4241.84,4255.15,2470.5
2021-06-24,4266.49,4266.49,2470.5
2021-06-25,4280.7,4280.7,2470.5
2021-06-28,4290.61,4290.61,2470.5
2021-06-29,4291.8,4291.8,2470.5
2021-06-30,4297.5,4297.5,2470.5
2021-07-01,4319.94,4319.94,2470.5
2021-07-02,4352.34,4352.34,2470.5
2021-07-05,,4352.34,2470.5
2021-07-06,4343.54,4352.34,2470.5
2021-07-07,4358.13,4358.13,2470.5
2021-07-08,4320.82,4358.13,2470.5
2021-07-09,4369.55,4369.55,2470.5
2021-07-12,4384.63,4384.63,2470.5
2021-07-13,4369.21,4384.63,2470.5
2021-07-14,4374.3,4384.63,2470.5
2021-07-15,4360.03,4384.63,2470.5
2021-07-16,4327.16,4384.63,2470.5
2021-07-19,4258.49,4384.63,2470.5
2021-07-20,4323.06,4384.63,2470.5
2021-07-21,4358.69,4384.63,2470.5
2021-07-22,4367.48,4384.63,2470.5
2021-07-23,4411.79,4411.79,2470.5
2021-07-26,4422.3,4422.3,2470.5
2021-07-27,4401.46,4422.3,2470.5
2021-07-28,4400.64,4422.3,2470.5
2021-07-29,4419.15,4422.3,2470.5
2021-07-30,4395.26,4422.3,2470.5
2021-08-02,4387.16,4422.3,2470.5
2021-08-03,4423.15,4423.15,2470.5
2021-08-04,4402.66,4423.15,2470.5
2021-08-05,4429.1,4429.1,2470.5
2021-08-06,4436.52,4436.52,2470.5
2021-08-09,4432.35,4436.52,2470.5
2021-08-10,4436.75,4436.75,2470.5
2021-08-11,4447.7,4447.7,2470.5
2021-08-12,4460.83,4460.83,2470.5
2021-08-13,4468.0,4468.0,2470.5
2021-08-16,4479.71,4479.71,2470.5
2021-08-17,4448.08,4479.71,2470.5
2021-08-18,4400.27,4479.71,2470.5
2021-08-19,4405.8,4479.71,2470.5
2021-08-20,4441.67,4479.71,2470.5
2021-08-23,4479.53,4479.71,2470.5
2021-08-24,4486.23,4486.23,2470.5
2021-08-25,4496.19,4496.19,2488.65
2021-08-26,4470.0,4496.19,2488.65
2021-08-27,4509.37,4509.37,2659.41
2021-08-30,4528.79,4528.79,2659.41
2021-08-31,4522.68,4528.79,2736.56
2021-09-01,4524.09,4528.79,2736.56
2021-09-02,4536.95,4536.95,2736.56
2021-09-03,4535.43,4536.95,2736.56
2021-09-06,,4536.95,2736.56
2021-09-07,4520.03,4536.95,2736.56
2021-09-08,4514.07,4536.95,2736.56
